name,rarity,faction,kind,mark,param1,bonus_pct,note
【紅の猟銃使い】エティア,SSR,エルドラーナ,grant_faction,接客,3,20,
【好奇心旺盛な魔法科学者】フレデリカ,SSR,エルドラーナ,grant_faction,接客,3,20,
【呪縛の暗黒騎士】フィルム,SSR,ミレスガルド,grant_faction,ドリンク,3,20,
【赤焔の弓使い】ウィステリア,SSR,ミレスガルド,buff_great,,,50,
【高性能アンドロイド】エレクトラ,SSR,ルクスノヴァ,grant_chain,料理→ドリンク,,0,料理持ち全員にドリンク付与
【異世界実況ガチ勢】ピコ,SSR,ルクスノヴァ,grant_chain,ドリンク→接客,,0,
【白炎の戦乙女】ラヴェリア,SSR,ルクスノヴァ,grant_chain,接客→ドリンク,,0,
【水神拳聖】ヒュメナ,SSR,ミレスガルド,next_card,接客,,10,
【コミュ障魔法植物使い】マニョリア,SSR,エルドラーナ,buff_great,,,50,
【氷上の芸術家】シルヴィア,SSR,ルクスノヴァ,buff_scaled,,,50,Good+20%/Great+50%
【けなげな暴力ウエイトレス】エミリー,SSR,エルドラーナ,next_card,料理,,10,
【キューティデビル】エミリー,SSR,エルドラーナ,grant_chain,接客→ドリンク,,0,限定版エミリー
【お菓子の国の三ツ星パティシエ】ミルティーユ,SSR,ルクスノヴァ,next_card,料理,,20,SSR標準+10%のところ唯一+20%
【神出鬼没の妖刀使い】ハツネ,SSR,千国連合,next_card,ドリンク,,10,
【閃光の介添人】ニナ,SSR,ペルディオン,next_card,接客,,10,
【清流の祈り手】ヒナギ,SSR,千国連合,buff_all,,,20,
【ぶっ飛び天才鍛冶師ちゃん】ホノカ,SSR,千国連合,buff_all,,,20,
【大地と唄う翠の詩人】ラモーナ,SSR,ペルディオン,next_card,ドリンク,,10,
【作られし愛娘】ウェンディ,SSR,ペルディオン,grant_faction,料理,3,20,
【氷晶の魔法使い】ヴィーラ,SSR,ペルディオン,buff_great,,,50,現在入手不可(PU終了)
【守銭奴トレジャーハンター】メリッサ,SSR,ミレスガルド,next_card,料理,,10,
【太陽の踊り子】レヴィエーヌ,SSR,エルドラーナ,grant_faction,接客,2,40,
【雷撃の導き手】ディアーナ,SSR,千国連合,grant_faction,料理,3,20,
【嵐を呼ぶ海賊娘】ルシータ,SSR,エルドラーナ,next_card,ドリンク,,10,
【永久の慈愛】シラエス,SSR,千国連合,next_card,接客,,10,
【想いを燃やす恋の鬼】クレハ,SSR,千国連合,grant_faction,接客,1,100,
【魂のドリルマイスター】グラディア,SSR,エルドラーナ,buff_good,,,30,
【快活！小悪魔ギャルちゃん】リエラ,SSR,千国連合,buff_great,,,50,
【純潔の精霊術師】フィオナ,SSR,エルドラーナ,buff_all,,,20,
【星詠みの占星術師】クリスティ,SSR,ペルディオン,grant_faction,料理,2,40,
【忠義を尽くすケモミミ侍】コトノ,SSR,千国連合,grant_faction,料理,3,20,
【天空海闊の自然児】【水着】クルル,SSR,千国連合,grant_faction,ドリンク,3,20,
【渚のメイド】【水着】ニナ,SSR,ペルディオン,grant_faction,接客,3,20,
【夏色プレイ！】【水着】ホノカ,SSR,千国連合,grant_faction,接客,3,20,
【降り注ぐ灼熱の断罪】【水着】ヘイリー,SSR,千国連合,next_card,料理,,10,
【騎士道まっしぐら】ローザ,SR,ミレスガルド,buff_good,,,20,
【メスガキ魔法使い】ベリサ,SR,ペルディオン,grant_faction,料理,2,10,
