title,name,rarity,faction,element,stance,emblem,weapon_type,armor_type,hp,atk,def,release_date,obtain
紅の猟銃使い,エティア,SSR,エルドラーナ,無,バック,衝撃,銃,マント,3272,1868,828,2026-06-11,ガチャ(恒常)
好奇心旺盛な魔法科学者,フレデリカ,SSR,エルドラーナ,闇,バック,衝撃,魔導書,マント,2772,1320,1388,2026-06-11,ガチャ(恒常)
呪縛の暗黒騎士,フィルム,SSR,ミレスガルド,闇,フロント,衝撃,大剣,鎧,3276,1424,1212,2026-06-11,ガチャ(恒常)
赤焔の弓使い,ウィステリア,SSR,ミレスガルド,火,バック,情熱,弓,マント,2508,1848,992,2026-06-11,ガチャ(恒常)
高性能アンドロイド,エレクトラ,SSR,ルクスノヴァ,無,バック,衝撃,銃,マント,,,,2026-06-11,ガチャ(恒常)
異世界実況ガチ勢,ピコ,SSR,ルクスノヴァ,闇,アシスト,衝撃,ピッケル,作業着,3336,1504,1484,2026-06-11,ガチャ(恒常)
白炎の戦乙女,ラヴェリア,SSR,ルクスノヴァ,火,フロント,情熱,大剣,鎧,3672,1652,1216,2026-06-11,ガチャ(恒常)
水神拳聖,ヒュメナ,SSR,ミレスガルド,水,フロント,情熱,拳,鎧,2628,1340,936,2026-06-11,ガチャ(恒常)・初心者ミッション報酬対象
コミュ障魔法植物使い,マニョリア,SSR,エルドラーナ,土,バック,情熱,杖,マント,3000,1532,1124,2026-06-11,ガチャ(恒常)・初心者ミッション報酬対象
氷上の芸術家,シルヴィア,SSR,ルクスノヴァ,水,フロント,情熱,片手剣,鎧,3764,1116,1748,2026-06-11,ガチャ(恒常)
けなげな暴力ウエイトレス,エミリー,SSR,エルドラーナ,光,アシスト,衝撃,ピッケル,作業着,3520,1320,968,2026-06-11,ガチャ(恒常)・初心者ミッション報酬対象
お菓子の国の三ツ星パティシエ,ミルティーユ,SSR,ルクスノヴァ,土,バック,情熱,魔導書,マント,3448,1376,1424,2026-06-11,ガチャ(恒常)
神出鬼没の妖刀使い,ハツネ,SSR,千国連合,無,フロント,衝撃,片手剣,鎧,3364,1168,1432,2026-06-11,ガチャ(恒常)
閃光の介添人,ニナ,SSR,ペルディオン,光,フロント,衝撃,拳,鎧,2688,1240,1164,2026-06-11,ガチャ(恒常)
清流の祈り手,ヒナギ,SSR,千国連合,水,バック,情熱,魔導書,マント,3180,1164,1576,2026-06-11,ガチャ(恒常)
ぶっ飛び天才鍛冶師ちゃん,ホノカ,SSR,千国連合,火,アシスト,情熱,ピッケル,作業着,3236,1136,1460,2026-06-11,ガチャ(恒常)
大地と唄う翠の詩人,ラモーナ,SSR,ペルディオン,土,バック,情熱,弓,マント,2896,1400,1172,2026-06-11,ガチャ(恒常)
守銭奴トレジャーハンター,メリッサ,SSR,ミレスガルド,土,アシスト,情熱,ピッケル,作業着,3236,1056,1520,2026-06-11,交換所限定
